seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NZ_CP023694.1|provirus_1543589_1603484	59896	Provirus	1543589-1603484	101	11	0.9673	NA	5	67.8920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP025546.1|provirus_1826683_1836423	9741	Provirus	1826683-1836423	15	11	0.9674	NA	4	9.3609	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP026094.1|provirus_7297126_7313228	16103	Provirus	7297126-7313228	20	11	0.8624	NA	1	7.4814	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028369.1|provirus_9341340_9359750	18411	Provirus	9341340-9359750	21	11	0.9194	NA	1	9.3360	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028369.1|provirus_8761910_8826413	64504	Provirus	8761910-8826413	112	11	0.9193	NA	10	69.6286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP029191.1|provirus_7440298_7521556	81259	Provirus	7440298-7521556	140	11	0.9367	NA	9	77.5114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP029191.1|provirus_3868863_3885612	16750	Provirus	3868863-3885612	22	11	0.8804	NA	1	24.1080	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP030286.1|provirus_44671_54977	10307	Provirus	44671-54977	15	11	0.8477	NA	0	5.7335	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP030287.1|provirus_8463283_8470907	7625	Provirus	8463283-8470907	7	11	0.8958	NA	0	8.3287	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP030287.1|provirus_199279_209585	10307	Provirus	199279-209585	15	11	0.8695	NA	0	5.7335	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031194.1|provirus_6646857_6689741	42885	Provirus	6646857-6689741	55	11	0.9642	NA	5	43.9339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP032698.1|provirus_2339009_2387213	48205	Provirus	2339009-2387213	65	11	0.9752	NA	7	47.3588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP034152.1|provirus_2589986_2623719	33734	Provirus	2589986-2623719	50	11	0.9741	NA	8	22.0547	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP034152.1|provirus_3773309_3813399	40091	Provirus	3773309-3813399	61	11	0.9588	NA	8	48.7139	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP034152.1|provirus_2568317_2585812	17496	Provirus	2568317-2585812	36	11	0.9550	NA	0	9.6831	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP036455.1|provirus_1858231_1911417	53187	Provirus	1858231-1911417	86	11	0.9307	NA	9	55.5176	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP039292.1|provirus_3316023_3356564	40542	Provirus	3316023-3356564	59	11	0.9750	NA	10	56.1818	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP039292.1|provirus_2348342_2389347	41006	Provirus	2348342-2389347	56	11	0.9633	NA	5	39.9857	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP039292.1|provirus_3460011_3505184	45174	Provirus	3460011-3505184	58	11	0.9578	NA	7	45.6452	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045031.1|provirus_4482792_4531522	48731	Provirus	4482792-4531522	79	11	0.9485	NA	7	59.7323	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP043956.1|provirus_5553406_5592346	38941	Provirus	5553406-5592346	56	11	0.9585	NA	12	56.7511	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP043956.1|provirus_2939047_2983102	44056	Provirus	2939047-2983102	70	11	0.9519	NA	11	55.9056	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP043956.1|provirus_3327981_3388272	60292	Provirus	3327981-3388272	98	11	0.9446	NA	8	74.7084	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP041651.1|provirus_2786868_2813277	26410	Provirus	2786868-2813277	42	11	0.9227	NA	0	15.1690	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045547.1|provirus_4817473_4837788	20316	Provirus	4817473-4837788	23	11	0.7232	NA	2	2.3294	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP046171.1|provirus_46138_83648	37511	Provirus	46138-83648	53	11	0.9741	NA	6	49.4492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP046171.1|provirus_6498853_6549686	50834	Provirus	6498853-6549686	66	11	0.9633	NA	9	67.8064	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP046171.1|provirus_7549967_7618170	68204	Provirus	7549967-7618170	97	11	0.9323	NA	5	52.6569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP047355.1|provirus_2371311_2384396	13086	Provirus	2371311-2384396	19	11	0.9706	NA	3	23.7991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP047355.1|provirus_2479736_2496557	16822	Provirus	2479736-2496557	23	11	0.9515	NA	3	23.4251	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP047140.1|provirus_6732283_6785510	53228	Provirus	6732283-6785510	89	11	0.9588	NA	8	58.9328	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP049780.1|provirus_976545_1030808	54264	Provirus	976545-1030808	90	11	0.9603	NA	6	66.1819	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP049780.1|provirus_2382586_2437468	54883	Provirus	2382586-2437468	89	11	0.9452	NA	8	50.6577	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP049780.1|provirus_4082065_4095703	13639	Provirus	4082065-4095703	14	11	0.7588	NA	0	4.3349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP048289.1|provirus_7509152_7548353	39202	Provirus	7509152-7548353	45	11	0.9756	NA	8	54.0658	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054524.1|provirus_2502590_2542158	39569	Provirus	2502590-2542158	56	11	0.9760	NA	8	66.1951	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054522.1|provirus_2502617_2542185	39569	Provirus	2502617-2542185	56	11	0.9760	NA	8	66.1951	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054916.1|provirus_5164063_5180163	16101	Provirus	5164063-5180163	23	11	0.9381	NA	0	16.4022	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054916.1|provirus_8752246_8762557	10312	Provirus	8752246-8762557	18	11	0.9356	NA	0	8.0618	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP059898.1|provirus_3076575_3094161	17587	Provirus	3076575-3094161	21	11	0.9599	NA	3	20.2423	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP058556.1|provirus_3680445_3719613	39169	Provirus	3680445-3719613	48	11	0.9780	NA	10	59.1578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP058556.1|provirus_4726694_4764045	37352	Provirus	4726694-4764045	54	11	0.9698	NA	11	62.3880	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP056041.1|provirus_7917584_7932274	14691	Provirus	7917584-7932274	24	11	0.9485	NA	1	9.7843	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP065682.1|provirus_3543442_3587772	44331	Provirus	3543442-3587772	57	11	0.9661	NA	7	35.9586	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP070260.1|provirus_965620_1020795	55176	Provirus	965620-1020795	89	11	0.9783	NA	5	68.5332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP070260.1|provirus_5150732_5188482	37751	Provirus	5150732-5188482	64	11	0.9713	NA	5	60.5597	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP070260.1|provirus_1942649_1954717	12069	Provirus	1942649-1954717	17	11	0.8433	NA	0	6.7689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP071839.1|provirus_1477881_1537218	59338	Provirus	1477881-1537218	101	11	0.9554	NA	9	59.6365	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP072467.1|provirus_4528968_4563417	34450	Provirus	4528968-4563417	54	11	0.9648	NA	11	40.2262	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077652.1|provirus_3250823_3288981	38159	Provirus	3250823-3288981	63	11	0.9546	NA	14	52.5860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077652.1|provirus_4537494_4554652	17159	Provirus	4537494-4554652	22	11	0.9365	NA	1	25.7899	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077658.1|provirus_4734517_4776415	41899	Provirus	4734517-4776415	60	11	0.9641	NA	8	53.4169	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077658.1|provirus_5862525_5900880	38356	Provirus	5862525-5900880	53	11	0.9597	NA	5	48.4208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077658.1|provirus_6046219_6100954	54736	Provirus	6046219-6100954	68	11	0.9546	NA	8	73.4810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP073318.1|provirus_448309_454489	6181	Provirus	448309-454489	8	11	0.7667	NA	1	13.2208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP080029.1|provirus_2253997_2289581	35585	Provirus	2253997-2289581	52	11	0.9706	NA	10	51.0844	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086178.1|provirus_1118412_1131401	12990	Provirus	1118412-1131401	24	11	0.9326	NA	3	15.3735	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP089218.1|provirus_5505767_5514506	8740	Provirus	5505767-5514506	12	11	0.9247	NA	3	8.5725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085193.1|provirus_6409192_6450212	41021	Provirus	6409192-6450212	53	11	0.9639	NA	10	51.9219	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085193.1|provirus_11445496_11453577	8082	Provirus	11445496-11453577	12	11	0.9591	NA	0	17.2092	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085193.1|provirus_5688854_5730089	41236	Provirus	5688854-5730089	56	11	0.9568	NA	4	59.1171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085193.1|provirus_8369558_8387871	18314	Provirus	8369558-8387871	27	11	0.9261	NA	0	14.4921	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP090447.1|provirus_1333175_1388124	54950	Provirus	1333175-1388124	85	11	0.9440	NA	9	58.1500	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP092981.1|provirus_5359992_5370458	10467	Provirus	5359992-5370458	15	11	0.9410	NA	5	12.5370	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP092981.1|provirus_2357943_2389078	31136	Provirus	2357943-2389078	40	11	0.7330	NA	1	9.0131	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP094658.1|provirus_1853185_1894541	41357	Provirus	1853185-1894541	63	11	0.9765	NA	10	72.1211	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP094658.1|provirus_1496750_1553448	56699	Provirus	1496750-1553448	83	11	0.9758	NA	8	70.6176	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP095011.1|provirus_3270462_3358151	87690	Provirus	3270462-3358151	107	11	0.9261	NA	7	68.3616	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP099547.1|provirus_569663_609803	40141	Provirus	569663-609803	46	11	0.9688	NA	12	47.9730	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP099837.1|provirus_7060721_7101490	40770	Provirus	7060721-7101490	68	11	0.9513	NA	10	41.6215	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP099837.1|provirus_1203645_1253583	49939	Provirus	1203645-1253583	44	11	0.9248	NA	6	43.8132	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP099837.1|provirus_2030225_2087116	56892	Provirus	2030225-2087116	79	11	0.8905	NA	8	30.6326	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP099837.1|provirus_4837833_4907026	69194	Provirus	4837833-4907026	73	11	0.8154	NA	1	11.6631	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae
NZ_CP097263.1|provirus_8051431_8089604	38174	Provirus	8051431-8089604	51	11	0.9691	NA	10	47.0492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP097263.1|provirus_7921144_7955493	34350	Provirus	7921144-7955493	56	11	0.9660	NA	8	47.8690	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP101137.1|provirus_6598461_6648589	50129	Provirus	6598461-6648589	85	11	0.9556	NA	11	67.6769	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP101140.1|provirus_2976733_2992656	15924	Provirus	2976733-2992656	20	11	0.9284	NA	1	25.7899	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP104918.1|provirus_1926390_1934760	8371	Provirus	1926390-1934760	12	11	0.9796	NA	5	12.1991	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP104918.1|provirus_2271528_2316066	44539	Provirus	2271528-2316066	63	11	0.9740	NA	8	47.5032	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP102512.1|provirus_4566194_4599306	33113	Provirus	4566194-4599306	45	11	0.9533	NA	3	33.4513	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP102512.1|provirus_6577110_6590906	13797	Provirus	6577110-6590906	19	11	0.9339	NA	1	19.2451	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP102512.1|provirus_4624224_4642147	17924	Provirus	4624224-4642147	18	11	0.9202	NA	4	14.9432	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP112880.1|provirus_4794938_4806023	11086	Provirus	4794938-4806023	17	11	0.8870	NA	0	4.0559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP113836.1|provirus_980839_1040471	59633	Provirus	980839-1040471	78	11	0.9526	NA	4	49.1600	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP109672.1|provirus_11782110_11791396	9287	Provirus	11782110-11791396	13	11	0.9219	NA	0	17.6559	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAAIKT010000022.1|provirus_93840_134023	40184	Provirus	93840-134023	48	11	0.9276	NA	2	29.4156	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAAIKT010000035.1|provirus_7415_82765	75351	Provirus	7415-82765	60	11	0.9403	NA	3	29.4486	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAAOTJ010000001.1|provirus_1559148_1611722	52575	Provirus	1559148-1611722	86	11	0.9748	NA	6	47.0586	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BMST01000005.1|provirus_65622_130519	64898	Provirus	65622-130519	106	11	0.9479	NA	5	81.5896	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BMTW01000001.1|provirus_465010_478009	13000	Provirus	465010-478009	19	11	0.8552	NA	1	20.6714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BMUY01000011.1|provirus_230707_284993	54287	Provirus	230707-284993	84	11	0.9557	NA	13	81.8893	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CABPXA010000010.1|provirus_42323_73929	31607	Provirus	42323-73929	37	11	0.9166	NA	7	33.0634	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CAJYCF010000010.1|provirus_616144_626699	10556	Provirus	616144-626699	15	11	0.9768	NA	3	16.1087	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CAUPFE010000015.1|provirus_3_13687	13685	Provirus	3-13687	16	11	0.9524	NA	1	14.1890	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CM007203.1|provirus_83236_124398	41163	Provirus	83236-124398	32	11	0.9422	NA	2	26.4180	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CM007203.1|provirus_1_15210	15210	Provirus	1-15210	16	11	0.9045	NA	2	11.2083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CM007203.1|provirus_28483_73382	44900	Provirus	28483-73382	63	11	0.8444	NA	1	13.2004	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012649.1|provirus_2238959_2254857	15899	Provirus	2238959-2254857	24	11	0.9761	NA	4	19.7914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012649.1|provirus_2155950_2206009	50060	Provirus	2155950-2206009	53	11	0.9621	NA	11	43.5853	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP011799.1|provirus_3824769_3856073	31305	Provirus	3824769-3856073	48	11	0.9623	NA	5	53.0927	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP011799.1|provirus_468910_533414	64505	Provirus	468910-533414	54	11	0.9416	NA	2	40.5022	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP013979.1|provirus_2009216_2049399	40184	Provirus	2009216-2049399	66	11	0.9725	NA	6	45.0164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP012382.1|provirus_6582325_6650303	67979	Provirus	6582325-6650303	103	11	0.9662	NA	9	79.2256	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP018870.1|provirus_2884109_2894622	10514	Provirus	2884109-2894622	12	11	0.9365	NA	3	7.9938	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP019887.1|provirus_2794914_2803077	8164	Provirus	2794914-2803077	12	11	0.9328	NA	3	8.5725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP015726.1|provirus_8846287_8944302	98016	Provirus	8846287-8944302	135	11	0.9559	NA	11	81.4245	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP015726.1|provirus_3353120_3405268	52149	Provirus	3353120-3405268	81	11	0.9519	NA	6	64.7922	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP015726.1|provirus_3709743_3774582	64840	Provirus	3709743-3774582	69	11	0.9337	NA	7	46.2102	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP019888.1|provirus_1008211_1062613	54403	Provirus	1008211-1062613	85	11	0.9680	NA	5	60.7361	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP020570.1|provirus_3858150_3914494	56345	Provirus	3858150-3914494	91	11	0.9386	NA	11	53.9164	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP020569.1|provirus_4281709_4312731	31023	Provirus	4281709-4312731	43	11	0.9687	NA	11	50.6224	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP020569.1|provirus_3092231_3130653	38423	Provirus	3092231-3130653	43	11	0.9605	NA	7	42.5922	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP023692.1|provirus_3488343_3504100	15758	Provirus	3488343-3504100	14	11	0.8781	NA	0	4.6642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP025249.1|provirus_2907490_2949705	42216	Provirus	2907490-2949705	68	11	0.9678	NA	10	53.5571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP025249.1|provirus_1562109_1601314	39206	Provirus	1562109-1601314	56	11	0.9618	NA	7	40.7503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP023689.1|provirus_1415107_1489312	74206	Provirus	1415107-1489312	133	11	0.9529	NA	4	77.0443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028137.1|provirus_987892_1032436	44545	Provirus	987892-1032436	58	11	0.9615	NA	6	26.3695	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028137.1|provirus_2483841_2496515	12675	Provirus	2483841-2496515	17	11	0.9546	NA	1	8.3427	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP024989.1|provirus_4309541_4350848	41308	Provirus	4309541-4350848	65	11	0.9614	NA	11	57.1689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
