replicon	Nuccore	Assembly	sys_id	Start	End
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_5	1786409	1790884
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_6	2672459	2675506
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_7	2736827	2739385
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_8	5903075	5906032
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_9	6151127	6155236
GCF_000359525.1_NC_020990.1	NC_020990.1	GCF_000359525.1	GCF_000359525.1_NC_020990.1_Conservon_10	6726966	6729680
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_1	302503	305007
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_2	1144824	1149090
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_3	2232970	2236044
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_4	4271101	4280285
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_5	4993560	4997951
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_6	5286103	5296662
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_7	5767173	5769977
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_8	6538573	6541569
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_9	6693900	6697264
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_10	6904517	6908358
GCF_000364805.1_NC_021055.1	NC_021055.1	GCF_000364805.1	GCF_000364805.1_NC_021055.1_Conservon_11	7220996	7226041
GCF_000371785.1_NZ_AQUI01000002.1	NZ_AQUI01000002.1	GCF_000371785.1	GCF_000371785.1_NZ_AQUI01000002.1_Conservon_1	699062	704526
GCF_000371785.1_NZ_AQUI01000002.1	NZ_AQUI01000002.1	GCF_000371785.1	GCF_000371785.1_NZ_AQUI01000002.1_Conservon_2	2752278	2754914
GCF_000371785.1_NZ_AQUI01000002.1	NZ_AQUI01000002.1	GCF_000371785.1	GCF_000371785.1_NZ_AQUI01000002.1_Conservon_3	3786132	3788820
GCF_000371785.1_NZ_AQUI01000002.1	NZ_AQUI01000002.1	GCF_000371785.1	GCF_000371785.1_NZ_AQUI01000002.1_Conservon_4	4866219	4871495
GCF_000371885.1_NZ_AQUL01000001.1	NZ_AQUL01000001.1	GCF_000371885.1	GCF_000371885.1_NZ_AQUL01000001.1_Conservon_1	2187018	2190599
GCF_000371885.1_NZ_AQUL01000001.1	NZ_AQUL01000001.1	GCF_000371885.1	GCF_000371885.1_NZ_AQUL01000001.1_Conservon_2	2229002	2232728
GCF_000371885.1_NZ_AQUL01000001.1	NZ_AQUL01000001.1	GCF_000371885.1	GCF_000371885.1_NZ_AQUL01000001.1_Conservon_3	2712391	2718575
GCF_000371885.1_NZ_AQUL01000001.1	NZ_AQUL01000001.1	GCF_000371885.1	GCF_000371885.1_NZ_AQUL01000001.1_Conservon_4	3779551	3783309
GCF_000371885.1_NZ_AQUL01000001.1	NZ_AQUL01000001.1	GCF_000371885.1	GCF_000371885.1_NZ_AQUL01000001.1_Conservon_5	4208004	4220275
GCF_000373305.1_NZ_KB890938.1	NZ_KB890938.1	GCF_000373305.1	GCF_000373305.1_NZ_KB890938.1_Conservon_7	95831	98896
GCF_000373405.1_NZ_KB891296.1	NZ_KB891296.1	GCF_000373405.1	GCF_000373405.1_NZ_KB891296.1_Conservon_4	168443	179054
GCF_000373405.1_NZ_KB891296.1	NZ_KB891296.1	GCF_000373405.1	GCF_000373405.1_NZ_KB891296.1_Conservon_5	531304	536013
GCF_000373405.1_NZ_KB891296.1	NZ_KB891296.1	GCF_000373405.1	GCF_000373405.1_NZ_KB891296.1_Conservon_6	1510068	1513046
GCF_000373405.1_NZ_KB891308.1	NZ_KB891308.1	GCF_000373405.1	GCF_000373405.1_NZ_KB891308.1_Conservon_1	119502	121132
GCF_000373405.1_NZ_KB891308.1	NZ_KB891308.1	GCF_000373405.1	GCF_000373405.1_NZ_KB891308.1_Conservon_2	659266	663341
GCF_000373405.1_NZ_KB891308.1	NZ_KB891308.1	GCF_000373405.1	GCF_000373405.1_NZ_KB891308.1_Conservon_3	802260	805307
GCF_000373625.1_NZ_KB891987.1	NZ_KB891987.1	GCF_000373625.1	GCF_000373625.1_NZ_KB891987.1_Conservon_1	853525	855106
GCF_000373625.1_NZ_KB891987.1	NZ_KB891987.1	GCF_000373625.1	GCF_000373625.1_NZ_KB891987.1_Conservon_2	1118354	1129122
GCF_000373625.1_NZ_KB891997.1	NZ_KB891997.1	GCF_000373625.1	GCF_000373625.1_NZ_KB891997.1_Conservon_6	231656	235024
GCF_000373685.1_NZ_KB892191.1	NZ_KB892191.1	GCF_000373685.1	GCF_000373685.1_NZ_KB892191.1_Conservon_6	284545	287595
GCF_004123705.1_NZ_RWGV01000033.1	NZ_RWGV01000033.1	GCF_004123705.1	GCF_004123705.1_NZ_RWGV01000033.1_Conservon_10	172602	174134
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_1	314965	318408
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_2	674190	678287
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_3	684449	687148
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_4	729364	731443
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_5	1974232	1984939
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_6	2292995	2298007
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_7	6457932	6461018
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_8	6697100	6704906
GCF_004124325.1_NZ_QBDT01000001.1	NZ_QBDT01000001.1	GCF_004124325.1	GCF_004124325.1_NZ_QBDT01000001.1_Conservon_9	6976070	6978632
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_1	443924	445472
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_2	529813	533761
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_3	1109546	1112428
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_4	1677883	1688387
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_5	1963948	1968423
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_6	2839155	2842202
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_7	2901243	2903801
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_8	6049680	6052637
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_9	6289635	6293743
GCF_004124335.1_NZ_QBDS01000001.1	NZ_QBDS01000001.1	GCF_004124335.1	GCF_004124335.1_NZ_QBDS01000001.1_Conservon_10	6868943	6871657
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_1	1081524	1086086
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_2	1336883	1347212
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_3	2413227	2417091
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_4	2587858	2589587
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_5	2628894	2631707
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_6	2712557	2715485
GCF_004125245.1_NZ_RDTD01000001.1	NZ_RDTD01000001.1	GCF_004125245.1	GCF_004125245.1_NZ_RDTD01000001.1_Conservon_7	3903898	3907581
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_2	776589	778277
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_3	937057	941227
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_4	1752387	1755206
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_5	2558437	2568914
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_6	2843530	2848226
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_7	4115895	4118231
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_8	6214774	6217605
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_9	7572167	7576415
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_10	7794948	7800824
GCF_004125265.1_NZ_RDTE01000003.1	NZ_RDTE01000003.1	GCF_004125265.1	GCF_004125265.1_NZ_RDTE01000003.1_Conservon_11	8116927	8119512
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_1	162077	164674
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_2	396882	400847
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_3	476045	479832
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_4	522060	523727
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_5	699256	703309
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_6	1014489	1017396
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_7	2034977	2045384
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_8	2320023	2324575
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_9	5463151	5465979
GCF_004125275.1_NZ_RDTC01000001.1	NZ_RDTC01000001.1	GCF_004125275.1	GCF_004125275.1_NZ_RDTC01000001.1_Conservon_10	7083787	7092070
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_3	158319	160970
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_4	1255841	1260107
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_5	2351766	2354828
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_6	4697680	4700646
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_7	5455070	5459566
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_8	5817507	5828099
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_9	6374772	6377594
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_10	6445751	6448657
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_11	7376558	7380511
GCF_004125315.1_NZ_QANR01000003.1	NZ_QANR01000003.1	GCF_004125315.1	GCF_004125315.1_NZ_QANR01000003.1_Conservon_12	7564951	7567950
GCF_004127445.1_NZ_QEXM01000043.1	NZ_QEXM01000043.1	GCF_004127445.1	GCF_004127445.1_NZ_QEXM01000043.1_Conservon_2	409243	413017
GCF_004135345.1_NZ_CP035495.1	NZ_CP035495.1	GCF_004135345.1	GCF_004135345.1_NZ_CP035495.1_Conservon_1	3056940	3062667
GCF_004135385.1_NZ_CP035493.1	NZ_CP035493.1	GCF_004135385.1	GCF_004135385.1_NZ_CP035493.1_Conservon_1	1374859	1380162
GCF_010550425.1_NZ_JAAGNC010000207.1	NZ_JAAGNC010000207.1	GCF_010550425.1	GCF_010550425.1_NZ_JAAGNC010000207.1_Conservon_4	218944	222649
GCF_010550605.1_NZ_JAAGNI010000233.1	NZ_JAAGNI010000233.1	GCF_010550605.1	GCF_010550605.1_NZ_JAAGNI010000233.1_Conservon_5	40143	43950
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_1	295777	298748
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_2	547846	552899
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_3	1355016	1359050
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_4	1785200	1788750
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_5	2758639	2769544
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_6	3078624	3083336
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_7	7404133	7407222
GCF_010669165.1_NZ_CP048641.1	NZ_CP048641.1	GCF_010669165.1	GCF_010669165.1_NZ_CP048641.1_Conservon_8	7679934	7688160
GCF_010671825.1_NZ_JAAHBZ010000002.1	NZ_JAAHBZ010000002.1	GCF_010671825.1	GCF_010671825.1_NZ_JAAHBZ010000002.1_Conservon_3	96129	99209
GCF_010671825.1_NZ_JAAHBZ010000002.1	NZ_JAAHBZ010000002.1	GCF_010671825.1	GCF_010671825.1_NZ_JAAHBZ010000002.1_Conservon_4	687308	689647
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_1	2242264	2246102
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_2	2855456	2860438
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_3	4120928	4124616
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_4	4295880	4298678
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_5	4557255	4561602
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_6	5043378	5047322
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_7	6685887	6690476
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_8	6767962	6771008
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_9	8209857	8218704
GCF_013211575.1_NZ_CP053892.1	NZ_CP053892.1	GCF_013211575.1	GCF_013211575.1_NZ_CP053892.1_Conservon_10	9573945	9577678
GCF_013280595.1_NZ_JAAATY010000001.1	NZ_JAAATY010000001.1	GCF_013280595.1	GCF_013280595.1_NZ_JAAATY010000001.1_Conservon_1	696855	701209
GCF_013280595.1_NZ_JAAATY010000008.1	NZ_JAAATY010000008.1	GCF_013280595.1	GCF_013280595.1_NZ_JAAATY010000008.1_Conservon_3	130619	134608
GCF_010723415.1_NZ_BLKX01000001.1	NZ_BLKX01000001.1	GCF_010723415.1	GCF_010723415.1_NZ_BLKX01000001.1_Conservon_1	818829	822806
GCF_013302895.1_NZ_VJOK01000001.1	NZ_VJOK01000001.1	GCF_013302895.1	GCF_013302895.1_NZ_VJOK01000001.1_Conservon_1	894504	898820
GCF_013302895.1_NZ_VJOK01000001.1	NZ_VJOK01000001.1	GCF_013302895.1	GCF_013302895.1_NZ_VJOK01000001.1_Conservon_2	2552754	2555348
GCF_013302895.1_NZ_VJOK01000001.1	NZ_VJOK01000001.1	GCF_013302895.1	GCF_013302895.1_NZ_VJOK01000001.1_Conservon_3	5463438	5474329
GCF_013302895.1_NZ_VJOK01000001.1	NZ_VJOK01000001.1	GCF_013302895.1	GCF_013302895.1_NZ_VJOK01000001.1_Conservon_4	6383474	6384878
GCF_013302895.1_NZ_VJOK01000001.1	NZ_VJOK01000001.1	GCF_013302895.1	GCF_013302895.1_NZ_VJOK01000001.1_Conservon_5	6435001	6437747
GCF_013302895.1_NZ_VJOK01000001.1	NZ_VJOK01000001.1	GCF_013302895.1	GCF_013302895.1_NZ_VJOK01000001.1_Conservon_6	7442874	7446476
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_1	390170	391720
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_2	473040	476995
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_3	1063453	1066338
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_4	1581601	1591506
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_5	1880519	1885006
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_6	2787150	2790206
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_7	2851164	2853725
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_8	5819668	5822625
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_9	6088935	6093043
GCF_015601545.1_NZ_CP064783.1	NZ_CP064783.1	GCF_015601545.1	GCF_015601545.1_NZ_CP064783.1_Conservon_10	6670284	6672986
GCF_013307045.1_NZ_JAATOK010000002.1	NZ_JAATOK010000002.1	GCF_013307045.1	GCF_013307045.1_NZ_JAATOK010000002.1_Conservon_2	41459	45519
GCF_013307045.1_NZ_JAATOK010000026.1	NZ_JAATOK010000026.1	GCF_013307045.1	GCF_013307045.1_NZ_JAATOK010000026.1_Conservon_11	84794	88568
GCF_015645455.1_NZ_JADOEJ010000010.1	NZ_JADOEJ010000010.1	GCF_015645455.1	GCF_015645455.1_NZ_JADOEJ010000010.1_Conservon_6	85658	89682
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_1	605972	609257
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_2	1194417	1199531
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_3	1463979	1468303
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_4	1719933	1722977
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_5	3106481	3109528
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_6	5774446	5779041
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_7	6046071	6056873
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_8	6645305	6649314
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_9	7492327	7496387
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_10	7643253	7647027
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_11	8174250	8177252
GCF_013317105.1_NZ_CP050522.1	NZ_CP050522.1	GCF_013317105.1	GCF_013317105.1_NZ_CP050522.1_Conservon_12	8216067	8218610
GCF_010729305.1_NZ_AP022574.1	NZ_AP022574.1	GCF_010729305.1	GCF_010729305.1_NZ_AP022574.1_Conservon_1	5374650	5378416
GCF_010730195.1_NZ_AP022613.1	NZ_AP022613.1	GCF_010730195.1	GCF_010730195.1_NZ_AP022613.1_Conservon_1	801959	805958
GCF_010730745.1_NZ_AP022615.1	NZ_AP022615.1	GCF_010730745.1	GCF_010730745.1_NZ_AP022615.1_Conservon_1	1082265	1086441
