seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NZ_SPAY01000334.1	55389	No terminal repeats	46	11	0.8506	NA	1	0.1528	NA	NA
NZ_VWVW01000031.1	90750	No terminal repeats	84	11	0.9773	NA	0	2.0913	NA	NF012174;NF033068
NZ_WKJV01000156.1	11890	No terminal repeats	12	11	0.9397	NA	0	2.0601	NA	NA
NZ_WUNA01000075.1	6472	No terminal repeats	7	11	0.9802	NA	0	3.0382	NA	NA
NZ_WWKJ01000828.1	24179	No terminal repeats	21	11	0.8909	NA	0	0.4416	NA	NA
NZ_ANBH01000078.1	45790	No terminal repeats	45	11	0.9853	NA	0	7.4628	NA	NA
NZ_BRZK01000075.1	21572	No terminal repeats	30	11	0.9819	NA	0	9.1646	NA	NA
NZ_CAJPSA010000005.1	41023	No terminal repeats	42	11	0.9317	NA	0	3.2305	NA	NF012174;NF000496
NZ_CP033582.1	630187	No terminal repeats	608	11	0.9845	NA	1	32.0625	NA	NF000496;NF033476;NF000025;NF012178;NF033135;NF033476;NF033105;NF033135
NZ_FZMO01000055.1	17301	No terminal repeats	19	11	0.9788	NA	0	4.2564	NA	NA
NZ_LIRI01000043.1	27645	No terminal repeats	34	11	0.9652	NA	0	5.0755	NA	NA
NZ_QNTW01000003.1	51611	No terminal repeats	54	11	0.9573	NA	0	5.6659	NA	NA
NZ_JABETO010000042.1	48435	No terminal repeats	36	11	0.8970	NA	0	2.5555	NA	NA
NZ_JAERRH010000030.1	46505	No terminal repeats	46	11	0.9885	NA	0	19.6609	NA	NF000496
NZ_JAGGPC010000033.1	167892	No terminal repeats	140	11	0.9826	NA	0	7.5973	NA	NF033068;NF033068;NF000095;NF033135
NZ_JAGPXJ010000052.1	51791	No terminal repeats	45	11	0.9697	NA	0	5.0020	NA	NF033476
NZ_JAGSOG010000233.1	14148	No terminal repeats	12	11	0.8420	NA	0	1.9037	NA	NA
NZ_JAGXOE010000084.1	16436	No terminal repeats	18	11	0.8679	NA	0	0.6052	NA	NA
NZ_JAIHLS010000039.1	40042	No terminal repeats	38	11	0.9777	NA	0	5.3843	NA	NF033145
NZ_JAIUKD010000049.1	32222	No terminal repeats	19	11	0.9837	NA	0	1.9755	NA	NA
NZ_JAJJPA010000022.1	118543	No terminal repeats	114	11	0.9513	NA	0	2.7868	NA	NF012178;NF000496;NF012178;NF033476;NF012174
NZ_JAJOMB010000035.1	68138	No terminal repeats	69	11	0.9819	NA	0	16.5117	NA	NF033085
NZ_JAJVLH010000030.1	49524	No terminal repeats	40	11	0.9922	NA	0	8.7211	NA	NA
NZ_JALM01000023.1	38321	No terminal repeats	38	11	0.9704	NA	0	8.6467	NA	NF012174
NZ_JANCLX010000029.1	114863	No terminal repeats	92	11	0.9806	NA	0	4.1275	NA	NF012174;NF033476;NF033068;NF033135;NF033135
NZ_JAPEMO010000006.1	583458	No terminal repeats	541	11	0.9853	NA	1	26.7897	NA	NF000237;NF012178;NF033135;NF033134;NF000027;NF033085;NF000025;NF012178;NF033156;NF000095;NF033117;NF000051;NF012174;NF012174;NF012178
NZ_JAPEQB010000005.1	285490	No terminal repeats	323	11	0.9884	NA	0	68.8285	NA	NF000051;NF033134;NF000025;NF012178
NZ_JAQFWQ010000052.1	45977	No terminal repeats	50	11	0.9799	NA	2	13.4078	NA	NF033068
NZ_JARXVH010000023.1	125854	No terminal repeats	124	11	0.9856	NA	1	18.6251	NA	NF033068;NF033105;NF033068
NZ_JASISX010000088.1	16549	No terminal repeats	16	11	0.9913	NA	0	9.6936	NA	NA
NZ_JASIRM010000005.1	440730	No terminal repeats	416	11	0.9575	NA	0	1.7496	NA	NF000025;NF012174;NF033085;NF033068;NF033105;NF000095;NF000095;NF033134;NF000095
NZ_JAUEPL010000054.1	44066	No terminal repeats	40	11	0.9635	NA	0	0.1055	NA	NF033085
NZ_AZVD01000043.1	32966	No terminal repeats	29	11	0.9491	NA	0	0.2963	NA	NF033068
NZ_BHZI01000101.1	19100	No terminal repeats	17	11	0.8948	NA	0	1.5822	NA	NF038208;NF033068
NZ_BMPR01000046.1	44916	No terminal repeats	32	11	0.9878	NA	1	13.1163	NA	NA
NZ_BMTX01000031.1	63032	No terminal repeats	60	11	0.9706	NA	0	1.0758	NA	NA
NZ_BMVR01000012.1	280921	No terminal repeats	258	11	0.9748	NA	0	7.8310	NA	NF033135;NF000373;NF012174;NF033129;NF033135;NF000373;NF033156
NZ_BRXI01000053.1	36224	No terminal repeats	43	11	0.9874	NA	0	11.4664	NA	NF033134
NZ_BQYC01000005.1	118977	No terminal repeats	109	11	0.9679	NA	0	2.5032	NA	NF033135
NZ_BSSA01000038.1	75662	No terminal repeats	71	11	0.9840	NA	0	4.0610	NA	NF033068
NZ_CAKJTR010000221.1	7374	No terminal repeats	8	11	0.9455	NA	0	0.8530	NA	NA
NZ_CALNDS010000019.1	41660	No terminal repeats	50	11	0.8690	NA	0	0.2690	NA	NA
NZ_FMCC01000220.1	18184	No terminal repeats	12	11	0.7492	NA	0	1.1339	NA	NA
NZ_BNBT01000144.1	23358	No terminal repeats	19	11	0.8765	NA	0	1.2604	NA	NA
NZ_BQUN01000054.1	24776	No terminal repeats	31	11	0.9924	NA	0	14.7354	NA	NA
NZ_BRXF01000067.1	28797	No terminal repeats	38	11	0.9863	NA	0	10.6133	NA	NF033134
NZ_BSTL01000049.1	44861	No terminal repeats	49	11	0.9847	NA	0	8.2465	T_virB11	NA
NZ_WJBG01000219.1	20865	No terminal repeats	18	11	0.8499	NA	0	2.0418	NA	NA
NZ_WMBZ01000101.1	13970	No terminal repeats	12	11	0.9871	NA	0	3.3345	NA	NA
NZ_WQLT01000039.1	64353	No terminal repeats	63	11	0.9812	NA	0	5.6917	NA	NA
NZ_WWFZ01001038.1	38719	No terminal repeats	39	11	0.9673	NA	0	4.2890	NA	NA
NZ_WWHZ01000163.1	87079	No terminal repeats	97	11	0.9825	NA	4	2.5304	MOBP1	NA
NZ_ALAP01000021.1	47187	No terminal repeats	36	11	0.9426	NA	0	2.9045	NA	NA
NZ_BBPL01000108.1	13722	No terminal repeats	16	11	0.9724	NA	0	3.0269	NA	NA
NZ_BDBQ01000078.1	88680	No terminal repeats	88	11	0.9220	NA	0	3.8090	NA	NF033105
NZ_BNEB01000006.1	414987	No terminal repeats	322	11	0.9890	NA	3	28.2056	NA	NF000496;NF033083;NF033135;NF012174
NZ_BONS01000036.1	79678	No terminal repeats	83	11	0.9858	NA	0	17.1427	NA	NF033068;NF000088
NZ_BOPF01000068.1	26275	No terminal repeats	21	11	0.9405	NA	0	0.3542	NA	NA
NZ_BSTN01000036.1	54443	No terminal repeats	51	11	0.9837	NA	1	10.9492	NA	NF033068
NZ_GG657748.1	306331	No terminal repeats	290	11	0.9756	NA	5	26.2003	MOBP1	NF012178;NF012174;NF012178
NZ_JAAGMQ010000203.1	12361	No terminal repeats	14	11	0.8317	NA	0	1.5492	NA	NA
NZ_JAAPBF010000111.1	22301	No terminal repeats	17	11	0.7755	NA	0	1.8910	NA	NA
NZ_JABSUF010000004.1	104232	No terminal repeats	98	11	0.9786	NA	0	2.4365	NA	NF000225
NZ_JAJEJZ010000017.1	118824	No terminal repeats	97	11	0.9677	NA	0	1.8077	NA	NF000088;NF000496
NZ_LJGW01000520.1	44810	No terminal repeats	33	11	0.9861	NA	0	10.7025	NA	NA
NZ_MBLN01000007.1	12061	No terminal repeats	12	11	0.9801	NA	0	3.6994	NA	NA
NZ_MKKC01000023.1	3275	No terminal repeats	2	11	0.9653	NA	0	1.5693	NA	NA
NZ_MKKC01000095.1	37819	No terminal repeats	42	11	0.9930	NA	0	9.1593	NA	NA
NZ_MKQR01000015.1	95422	No terminal repeats	85	11	0.9815	NA	0	6.6690	NA	NF000025;NF033476;NF000496
NZ_MOWP01000013.1	39868	No terminal repeats	35	11	0.9778	NA	1	4.5553	NA	NA
NZ_MSEA01000370.1	13974	No terminal repeats	11	11	0.8393	NA	0	1.2454	NA	NA
NZ_MUBL01000116.1	33710	No terminal repeats	27	11	0.9819	NA	0	2.8685	NA	NA
NZ_NEUE01000208.1	55229	No terminal repeats	44	11	0.9505	NA	0	0.5366	NA	NA
NZ_NEUH01000495.1	37526	No terminal repeats	35	11	0.9477	NA	0	2.7210	NA	NA
NZ_NMQT01000066.1	81761	No terminal repeats	63	11	0.7917	NA	0	4.2528	NA	NF033135;NF012174
NZ_NMQU01000094.1	129471	No terminal repeats	111	11	0.7696	NA	0	1.2488	NA	NF033134
NZ_PNOZ01000069.1	29701	No terminal repeats	25	11	0.9846	NA	0	5.9346	NA	NF033068
NZ_POTY01000174.1	15794	No terminal repeats	14	11	0.9627	NA	0	3.4477	NA	NF033068
NZ_PQSQ01000001.1	239067	No terminal repeats	209	11	0.9805	NA	5	6.5291	MOBP1	NF012174;NF033135;NF033068;NF012174
NZ_BBNN01000060.1	25365	No terminal repeats	22	11	0.9833	NA	2	1.3160	MOBP1	NA
NZ_BBUY01000020.1	105072	No terminal repeats	95	11	0.9707	NA	0	3.0199	NA	NA
NZ_BBVA01000012.1	130145	No terminal repeats	126	11	0.8156	NA	0	0.2524	NA	NA
NZ_BOPG01000023.1	314067	No terminal repeats	252	11	0.9608	NA	7	0.9980	MOBP1;MOBP1	NF000402;NF012178;NF033105;NF033117;NF012171
NZ_CABHNT010000021.1	75996	No terminal repeats	81	11	0.9633	NA	0	6.4812	FATA_prgIb	NA
NZ_CP030772.1	967890	ITR	982	11	0.9901	NA	6	275.4811	T_virB9	NF033068
NZ_CP114282.1	359958	No terminal repeats	368	11	0.9913	NA	4	121.3774	NA	NF033068
NZ_AJJM01000082.1	22648	No terminal repeats	23	11	0.9858	NA	0	4.8896	NA	NA
NZ_AOHP01000056.1	70751	No terminal repeats	76	11	0.7150	NA	0	4.7143	NA	NF000438;NF033061
NZ_NEUG01000487.1	34113	No terminal repeats	29	11	0.8676	NA	0	4.4726	NA	NF033068;NF000496
NZ_POUA01000008.1	51715	No terminal repeats	51	11	0.9302	NA	0	4.6303	NA	NA
NZ_QOIL01000035.1	67103	No terminal repeats	65	11	0.9831	NA	0	1.2836	NA	NF033134;NF000373
NZ_RJUZ01000002.1	450109	No terminal repeats	363	11	0.9790	NA	0	3.1962	NA	NF033088;NF033476;NF000095;NF012174;NF033068;NF000402;NF033135;NF033135;NF012178;NF000095
NZ_RPRX01000018.1	60978	No terminal repeats	49	11	0.9637	NA	0	0.9968	NA	NF000095;NF033103
NZ_VIUV01000024.1	37305	No terminal repeats	37	11	0.9911	NA	0	11.8373	NA	NA
NZ_VRMC01000127.1	10499	No terminal repeats	8	11	0.7361	NA	0	1.2103	NA	NA
NZ_VRSY01000009.1	18739	No terminal repeats	24	11	0.8455	NA	0	0.3699	NA	NA
NZ_BBOJ01000006.1	474943	No terminal repeats	372	11	0.9556	NA	0	0.5184	NA	NF012174;NF012174;NF000261;NF033088;NF033129;NF033105;NF033068;NF033085;NF012178
NZ_LMEQ01000015.1	68083	No terminal repeats	60	11	0.9865	NA	0	16.8915	NA	NF012176;NF033135
NZ_PCGU01000060.1	28030	No terminal repeats	30	11	0.8839	NA	0	1.6095	NA	NF033068;NF033068;NF033068
NZ_PCGU01000012.1	57142	No terminal repeats	55	11	0.9873	NA	2	9.6430	MOBP1	NA
NZ_PQHZ01000068.1	27279	ITR	28	11	0.9895	NA	0	11.1541	NA	NF000402
NZ_QODA01000011.1	56298	No terminal repeats	53	11	0.8974	NA	0	10.6497	NA	NF012174;NF000095
NZ_RAIH01000643.1	64976	No terminal repeats	58	11	0.9772	NA	0	5.0728	NA	NA
NZ_RIBT01000038.1	47996	ITR	38	11	0.9394	NA	0	3.3037	NA	NF000487
NZ_RPRU01000032.1	113601	No terminal repeats	122	11	0.9913	NA	1	56.8279	NA	NF012174;NF000027
NZ_SDIG01000062.1	32641	No terminal repeats	29	11	0.9903	NA	0	9.9246	NA	NA
NZ_SDLS01000012.1	246146	No terminal repeats	226	11	0.9451	NA	1	4.6915	NA	NF033135;NF033068
NZ_SHQL01000030.1	16798	No terminal repeats	15	11	0.7563	NA	0	1.6628	NA	NA
NZ_SHQQ01000017.1	10811	No terminal repeats	10	11	0.8387	NA	0	1.6628	NA	NA
NZ_SHTG01000017.1	11647	No terminal repeats	10	11	0.8747	NA	0	1.6628	NA	NA
NZ_SMKK01000072.1	38908	No terminal repeats	43	11	0.9567	NA	0	8.4095	NA	NA
NZ_SMKT01000137.1	23015	No terminal repeats	21	11	0.9590	NA	0	1.6636	NA	NF033068
NZ_UPHT01000188.1	4858	No terminal repeats	3	11	0.7725	NA	0	0.0000	NA	NA
NZ_VCHX02000158.1	133872	No terminal repeats	124	11	0.9311	NA	0	2.2042	NA	NF033134;NF000487
NZ_VDFY01000247.1	16767	No terminal repeats	11	11	0.9595	NA	0	2.5544	NA	NA
NZ_VRMC01000174.1	4472	No terminal repeats	3	11	0.9691	NA	0	1.3837	NA	NA
NZ_VTZN01000053.1	28940	No terminal repeats	38	11	0.9869	NA	0	1.6062	NA	NA
NZ_VZRB01000024.1	134661	No terminal repeats	112	11	0.9781	NA	0	9.4197	NA	NF033145;NF033476
NZ_WBMR01000004.1	118591	No terminal repeats	111	11	0.9746	NA	4	13.4607	MOBP1	NF033068
NZ_WKJY01000159.1	11863	No terminal repeats	12	11	0.9625	NA	0	2.0601	NA	NA
NZ_WMCB01000085.1	13956	No terminal repeats	12	11	0.9865	NA	0	3.3345	NA	NA
NZ_WMCC01000100.1	13965	No terminal repeats	12	11	0.9874	NA	0	3.3345	NA	NA
NZ_JAMQQG010000306.1	28696	No terminal repeats	25	11	0.9823	NA	0	1.7791	NA	NA
NZ_JAMYEN010000223.1	256490	No terminal repeats	248	11	0.9795	NA	4	3.6025	MOBP1	NF000095;NF033068;NF033135
NZ_JAPNLJ010000075.1	25816	No terminal repeats	24	11	0.9691	NA	0	0.7158	NA	NA
NZ_JASKMS010000059.1	18358	No terminal repeats	16	11	0.9925	NA	1	8.3176	NA	NA
NZ_JAVDKI010000057.1	20569	No terminal repeats	18	11	0.8932	NA	0	4.4495	NA	NA
NZ_JNWT01000042.1	58554	No terminal repeats	51	11	0.9754	NA	0	6.4677	NA	NF012174;NF012174
NZ_LYXF01000038.1	33457	No terminal repeats	27	11	0.9097	NA	0	2.3215	NA	NA
NZ_NTGQ01000020.1	72069	No terminal repeats	48	11	0.9711	NA	0	0.5228	NA	NF000088
NZ_VMNX01000087.1	34587	No terminal repeats	32	11	0.9553	NA	0	8.2395	NA	NF000095;NF033145
NZ_VTHK01000028.1	129809	No terminal repeats	138	11	0.9876	NA	0	8.2270	NA	NA
NZ_JAAZTW010000264.1	11760	No terminal repeats	8	11	0.9495	NA	0	2.9421	NA	NF012174
NZ_JACGZJ010000505.1	6018	No terminal repeats	3	11	0.7388	NA	0	0.9024	NA	NA
NZ_JAGIQL010000002.1	132850	No terminal repeats	136	11	0.9882	NA	6	0.2317	MOBP1;MOBP1;MOBP1	NF033134;NF033135;NF033134
NZ_QNTW01000004.1	49741	No terminal repeats	43	11	0.9686	NA	0	5.1792	NA	NA
NZ_RPRT01000002.1	1021673	No terminal repeats	907	11	0.9801	NA	0	22.9333	NA	NF033134;NF000095;NF000496;NF033156;NF000052;NF000025;NF000496;NF000487;NF033135;NF033476;NF033135;NF012178;NF000138;NF000025;NF033068;NF000119;NF033135;NF033135;NF033105;NF000469;NF000095;NF000095;NF033085
NZ_SMJX01000042.1	39918	No terminal repeats	35	11	0.9772	NA	0	4.8646	NA	NF000482
NZ_SOMP01000021.1	36056	No terminal repeats	30	11	0.9638	NA	2	0.2914	MOBP1	NF033083
NZ_VHQM01000348.1	5403	No terminal repeats	4	11	0.7679	NA	0	0.0000	NA	NA
NZ_BBPM01000054.1	48322	No terminal repeats	52	11	0.9741	NA	0	7.0603	NA	NF012174
NZ_BBPQ01000047.1	62782	No terminal repeats	45	11	0.7185	NA	0	3.6679	NA	NF033134;NF033129
NZ_BJFL01000043.1	34822	No terminal repeats	31	11	0.9863	NA	0	9.0180	NA	NA
NZ_BEWB01000015.1	193634	No terminal repeats	178	11	0.9887	NA	3	52.1189	NA	NF033129;NF033129;NF033129;NF012178;NF033083
NZ_BLAG01000020.1	160377	No terminal repeats	150	11	0.9654	NA	0	2.2187	NA	NF033088;NF012174;NF000091;NF012174;NF000125
NZ_BMUT01000024.1	46970	No terminal repeats	45	11	0.9658	NA	0	4.4962	NA	NF000051
NZ_BNBK01000034.1	84533	No terminal repeats	67	11	0.9779	NA	0	4.3979	NA	NF012178
NZ_BMWJ01000023.1	67362	ITR	53	11	0.9910	NA	3	20.9186	NA	NA
NZ_CAKJTR010000058.1	27930	No terminal repeats	24	11	0.9725	NA	0	1.8441	NA	NA
NZ_CAKJTM010000082.1	22044	No terminal repeats	18	11	0.9107	NA	0	1.0708	NA	NA
NZ_FLSP01000051.1	60816	No terminal repeats	40	11	0.9622	NA	0	0.3215	NA	NA
NZ_FMDG01000019.1	365656	No terminal repeats	315	11	0.9784	NA	5	16.5436	MOBP1;MOBP1	NF033135;NF033134;NF033135;NF033068;NF033083
NZ_JAASAX010000061.1	9544	No terminal repeats	10	11	0.9582	NA	0	1.5693	NA	NA
NZ_JAAVCB010000109.1	17209	No terminal repeats	18	11	0.9564	NA	0	0.6311	NA	NF012174
NZ_JACHJO010000020.1	17662	No terminal repeats	21	11	0.9705	NA	0	3.1421	NA	NA
NZ_JAEKOZ010000011.1	285355	No terminal repeats	261	11	0.9744	NA	0	9.7635	NA	NF033135;NF000373;NF012174;NF033129;NF033135;NF000373;NF033156
NZ_JAEQAW010000369.1	6363	No terminal repeats	5	11	0.8780	NA	0	0.5110	NA	NA
NZ_JAFCNB010000019.1	140578	No terminal repeats	104	11	0.9229	NA	1	3.1631	NA	NF033068
NZ_BNBY01000025.1	127711	No terminal repeats	122	11	0.9861	NA	0	12.1162	NA	NA
NZ_JAAAHS010000266.1	10841	No terminal repeats	10	11	0.9313	NA	0	2.3485	NA	NA
NZ_JAAIKT010000144.1	9226	No terminal repeats	10	11	0.7473	NA	0	0.5108	NA	NA
NZ_JAATEK010000049.1	52759	No terminal repeats	48	11	0.9047	NA	0	4.4862	NA	NF033068;NF012174
NZ_MQUH01000030.1	396111	No terminal repeats	344	11	0.9815	NA	0	22.1137	NA	NF033134;NF033135;NF000052;NF033134;NF033135;NF033476;NF033117;NF000125;NF012174
NZ_NTGS01000302.1	6699	No terminal repeats	5	11	0.8326	NA	0	0.5110	NA	NA
NZ_PEKU01000043.1	18952	No terminal repeats	20	11	0.9674	NA	0	1.7624	NA	NA
NZ_RAIE01000609.1	13087	No terminal repeats	14	11	0.9756	NA	0	2.8101	NA	NA
NZ_VXCD01000286.1	7420	No terminal repeats	6	11	0.7116	NA	0	0.8210	NA	NF012178
NZ_WWGW01000058.1	48717	No terminal repeats	46	11	0.9720	NA	0	5.7843	T_virB11	NA
NZ_AHBF01000142.1	18480	No terminal repeats	23	11	0.9523	NA	0	0.8054	NA	NA
NZ_BMVQ01000014.1	172123	No terminal repeats	117	11	0.9874	NA	2	30.4323	NA	NF033083
NZ_BMXL01000040.1	25549	No terminal repeats	28	11	0.9930	NA	0	11.9944	NA	NA
NZ_BNBV01000037.1	49428	No terminal repeats	40	11	0.9922	NA	0	8.7211	NA	NA
NZ_BNCB01000020.1	142260	No terminal repeats	143	11	0.9903	NA	1	23.6348	NA	NA
NZ_BONF01000058.1	65327	No terminal repeats	53	11	0.9240	NA	0	2.9403	NA	NF033068
NZ_BOOR01000017.1	200305	No terminal repeats	177	11	0.8991	NA	0	4.5556	NA	NF000025;NF033134;NF000091;NF033156
NZ_BRZD01000279.1	7846	No terminal repeats	7	11	0.9789	NA	0	2.1868	NA	NA
NZ_CP088267.1	135429	No terminal repeats	161	11	0.9821	NA	3	38.2389	MOBC	NF012174
NZ_CP097124.1	153713	No terminal repeats	153	11	0.9876	NA	2	37.8988	NA	NA
NZ_DS570643.1	88671	No terminal repeats	67	11	0.9133	NA	0	2.0473	NA	NF012178;NF033476;NF033135;NF012178;NF033129
NZ_FLSP01000012.1	121470	No terminal repeats	104	11	0.9836	NA	2	7.2774	MOBP1	NF033083
NZ_FMDK01000733.1	5804	No terminal repeats	4	11	0.8699	NA	0	2.1035	NA	NF012174
NZ_FOMZ01000022.1	34053	DTR	35	11	0.9886	NA	0	5.1174	NA	NA
NZ_FTRM01000019.1	50023	No terminal repeats	55	11	0.9437	NA	0	3.5538	NA	NA
NZ_JAAAYH010000176.1	17152	No terminal repeats	15	11	0.8396	NA	0	1.3031	NA	NF012174
NZ_JAAGLF010000921.1	5851	No terminal repeats	6	11	0.8271	NA	0	1.1977	NA	NF033105
NZ_JAAGLW010000013.1	178849	No terminal repeats	150	11	0.9001	NA	0	1.4330	NA	NF012178
NZ_JAAGMU010001192.1	19132	No terminal repeats	18	11	0.9786	NA	0	5.0789	NA	NA
NZ_JAAGRZ010000079.1	14914	No terminal repeats	17	11	0.9396	NA	1	1.4500	NA	NF033068
NZ_JAAIKT010000057.1	63047	No terminal repeats	69	11	0.9864	NA	0	12.7774	NA	NA
NZ_BRZE01000061.1	28675	No terminal repeats	37	11	0.9870	NA	0	10.6133	NA	NF033134
NZ_BRXH01000093.1	11262	No terminal repeats	15	11	0.9641	NA	0	2.6940	NA	NA
NZ_BSDI01000038.1	85538	No terminal repeats	69	11	0.9855	NA	4	13.2687	T_virB11;MOBP1	NF033083
NZ_MSKX01000039.1	8814	No terminal repeats	8	11	0.8973	NA	0	1.7118	NA	NA
NZ_MSKR01000045.1	13028	No terminal repeats	13	11	0.7483	NA	0	0.0000	NA	NA
NZ_MSKO01000038.1	12252	No terminal repeats	12	11	0.7505	NA	0	0.0000	NA	NA
NZ_MSJQ01000314.1	31175	No terminal repeats	32	11	0.9791	NA	0	6.2034	NA	NA
NZ_QFDR01000040.1	73525	No terminal repeats	62	11	0.9705	NA	0	8.5316	NA	NF000088;NF000095
NZ_AQUZ01000092.1	25412	No terminal repeats	27	11	0.9595	NA	0	1.9786	NA	NF033068;NF000095
NZ_ASQP01000121.1	39082	No terminal repeats	38	11	0.8331	NA	0	2.3522	NA	NA
NZ_AXVR01000064.1	19804	No terminal repeats	23	11	0.9923	NA	0	11.2682	T_virB11	NA
NZ_BOOT01000046.1	81864	No terminal repeats	64	11	0.9785	NA	0	2.7994	NA	NA
NZ_CAAAFT010000462.1	4365	No terminal repeats	4	11	0.9637	NA	0	1.3837	NA	NA
NZ_CAKJTM010000059.1	33588	No terminal repeats	24	11	0.9765	NA	0	10.0878	NA	NA
NZ_CAKJTP010000216.1	5153	No terminal repeats	5	11	0.7394	NA	0	1.0646	NA	NA
NZ_CAUQVD010000030.1	24744	No terminal repeats	24	11	0.7827	NA	0	0.3013	NA	NA
NZ_CAURRE010000024.1	37999	No terminal repeats	34	11	0.8492	NA	0	1.7059	NA	NF033075
NZ_QEST01000167.1	47048	No terminal repeats	45	11	0.9664	NA	0	7.1490	NA	NA
