	Accession_DB	Localisation	start	end	Nuccore	Close_prophage	Cluster	Type	sys_id	Position	replicon	Assembly	New_clade	Type_defensive	Sys_close	Nb_sys_close	Close_type	Close_sys_id	In_plasmid	Close_conservon	LanC	Dehydra_N_Thiopep	Dehydra	Thiopep_Methyl	Methyl	Thiopep	Transporter
20	GCF_014360585.1_NZ_JACIXG010000028.1_02793	14696:15776	14696	15776	NZ_JACIXG010000028.1	0	GCF_014360585.1_NZ_JACIXG010000028.1_02793	lanthipeptide-class-i	GCF_014360585.1_NZ_JACIXG010000028.1.region001_lanthipeptide-class-i_4697_31967	2793	GCF_014360585.1_NZ_JACIXG010000028.1	GCF_014360585.1	Clade 7	Lanthiphage	0.0				0	0.0	2	1	0	0	2	1	0
22	GCF_014360585.1_NZ_JACIXG010000028.1_02796	17728:18970	17728	18970	NZ_JACIXG010000028.1	0	GCF_014360585.1_NZ_JACIXG010000028.1_02796	lanthipeptide-class-i	GCF_014360585.1_NZ_JACIXG010000028.1.region001_lanthipeptide-class-i_4697_31967	2796	GCF_014360585.1_NZ_JACIXG010000028.1	GCF_014360585.1	Clade 5	Lanthiphage	0.0				0	0.0	2	1	0	0	2	1	0
24	GCF_017876755.1_NZ_JAGIOO010000001.1_06392	7087766:7089005	7087766	7089005	NZ_JAGIOO010000001.1	0	GCF_017876755.1_NZ_JAGIOO010000001.1_06392	lanthipeptide-class-i	GCF_017876755.1_NZ_JAGIOO010000001.1.region031_lanthipeptide-class-i_7079299_7117242	6392	GCF_017876755.1_NZ_JAGIOO010000001.1	GCF_017876755.1	Clade 7	Lanthiphage	1.0	1.0	CAS_Class1-Subtype-I-E	GCF_017876755.1_CAS_Class1-Subtype-I-E_11	0	0.0	2	1	0	0	1	0	0
26	GCF_017876755.1_NZ_JAGIOO010000001.1_06415	7107227:7108475	7107227	7108475	NZ_JAGIOO010000001.1	0	GCF_017876755.1_NZ_JAGIOO010000001.1_06415	lanthipeptide-class-i	GCF_017876755.1_NZ_JAGIOO010000001.1.region031_lanthipeptide-class-i_7079299_7117242	6415	GCF_017876755.1_NZ_JAGIOO010000001.1	GCF_017876755.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	1	0	0
28	GCF_019049125.1_NZ_JAGMUF010000030.1_01849	25101:26376	25101	26376	NZ_JAGMUF010000030.1	0	GCF_013010335.1_NZ_JABERR010000003.1_03349	lanthipeptide-class-i	GCF_019049125.1_NZ_JAGMUF010000030.1.region001_lanthipeptide-class-i_12991_46208	1849	GCF_019049125.1_NZ_JAGMUF010000030.1	GCF_019049125.1	Clade 10	Lanthiphage	0.0				1	0.0	2	2	0	1	1	0	1
30	GCF_019049125.1_NZ_JAGMUF010000030.1_01862	43752:44901	43752	44901	NZ_JAGMUF010000030.1	0	GCF_019049125.1_NZ_JAGMUF010000030.1_01862	lanthipeptide-class-i	GCF_019049125.1_NZ_JAGMUF010000030.1.region001_lanthipeptide-class-i_12991_46208	1862	GCF_019049125.1_NZ_JAGMUF010000030.1	GCF_019049125.1	Clade 7	Lanthiphage	0.0				1	0.0	2	2	0	1	1	0	1
32	GCF_022271435.1_NZ_JAFIQY010000004.1_00475	400469:401696	400469	401696	NZ_JAFIQY010000004.1	0	GCF_022271435.1_NZ_JAFIQY010000004.1_00475	lanthipeptide-class-i	GCF_022271435.1_NZ_JAFIQY010000004.1.region004_lanthipeptide-class-i_387504_417019	475	GCF_022271435.1_NZ_JAFIQY010000004.1	GCF_022271435.1	Clade 1	Lanthiphage	0.0				0	0.0	2	2	0	0	2	2	1
34	GCF_022271435.1_NZ_JAFIQY010000004.1_00483	410308:411544	410308	411544	NZ_JAFIQY010000004.1	0	GCF_000719735.1_NZ_JOHQ01000027.1_06446	lanthipeptide-class-i	GCF_022271435.1_NZ_JAFIQY010000004.1.region004_lanthipeptide-class-i_387504_417019	483	GCF_022271435.1_NZ_JAFIQY010000004.1	GCF_022271435.1	Clade 5	Lanthiphage	0.0				0	0.0	2	2	0	0	2	2	1
36	GCF_022271435.1_NZ_JAFIQY010000070.1_04251	5454:6690	5454	6690	NZ_JAFIQY010000070.1	0	GCF_000719735.1_NZ_JOHQ01000027.1_06446	lanthipeptide-class-i	GCF_022271435.1_NZ_JAFIQY010000070.1.region001_lanthipeptide-class-i_1_20644	4251	GCF_022271435.1_NZ_JAFIQY010000070.1	GCF_022271435.1	Clade 5	Lanthiphage	0.0				1	0.0	2	1	0	0	1	1	1
38	GCF_022271435.1_NZ_JAFIQY010000070.1_04254	9311:10643	9311	10643	NZ_JAFIQY010000070.1	0	GCF_000715845.1_NZ_JNYL01000459.1_00042	lanthipeptide-class-i	GCF_022271435.1_NZ_JAFIQY010000070.1.region001_lanthipeptide-class-i_1_20644	4254	GCF_022271435.1_NZ_JAFIQY010000070.1	GCF_022271435.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	2	1	0	0	1	1	1
40	GCF_000010605.1_NC_010572.1_03779	4506389:4507622	4506389	4507622	NC_010572.1	0	GCF_003949895.1_NZ_RQIR01001565.1_00895	lanthipeptide-class-i	GCF_000010605.1_NC_010572.1.region022_lanthipeptide-class-i_4495428_4520685	3779	GCF_000010605.1_NC_010572.1	GCF_000010605.1	Clade 1	Lanthiphage	1.0	1.0	PARIS_I_merge	GCF_000010605.1_PARIS_I_merge_4	0	0.0	1	1	0	0	1	1	0
41	GCF_000013345.1_NC_007777.1_00204	242848:244132	242848	244132	NC_007777.1	0	GCF_000013345.1_NC_007777.1_00204	lanthipeptide-class-i	GCF_000013345.1_NC_007777.1.region001_lanthipeptide-class-i_232703_253427	204	GCF_000013345.1_NC_007777.1	GCF_000013345.1	Clade 4	Lanthiphage	1.0	1.0	RM_Type_I	GCF_000013345.1_RM_Type_I_9	0	0.0	1	0	0	0	0	1	3
42	GCF_000013345.1_NC_007777.1_01119	1339487:1340705	1339487	1340705	NC_007777.1	0	GCF_001983015.1_NZ_MOMD01000006.1_00222	lanthipeptide-class-i	GCF_000013345.1_NC_007777.1.region005_lanthipeptide-class-i_1328754_1353345	1119	GCF_000013345.1_NC_007777.1	GCF_000013345.1	Other	Lanthiphage	1.0	1.0	RM_Type_IIG	GCF_000013345.1_RM_Type_IIG_11	0	0.0	1	1	0	0	2	1	1
43	GCF_000013345.1_NC_007777.1_01820	2159648:2160875	2159648	2160875	NC_007777.1	0	GCF_001983015.1_NZ_MOMD01000058.1_03844	lanthipeptide-class-i	GCF_000013345.1_NC_007777.1.region010_lanthipeptide-class-i_2147906_2188005	1820	GCF_000013345.1_NC_007777.1	GCF_000013345.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	2	0
44	GCF_000013345.1_NC_007777.1_02025	2389394:2390633	2389394	2390633	NC_007777.1	0	GCF_000685765.2_NZ_JDWE01000055.1_03062	lanthipeptide-class-i	GCF_000013345.1_NC_007777.1.region013_lanthipeptide-class-i_2379846_2402516	2025	GCF_000013345.1_NC_007777.1	GCF_000013345.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
45	GCF_000013345.1_NC_007777.1_03300	3926018:3927164	3926018	3927164	NC_007777.1	0	GCF_000685765.2_NZ_JDWE01000057.1_01965	lanthipeptide-class-i	GCF_000013345.1_NC_007777.1.region020_lanthipeptide-class-i_3913299_3939328	3300	GCF_000013345.1_NC_007777.1	GCF_000013345.1	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
46	GCF_000013345.1_NC_007777.1_03523	4219562:4220846	4219562	4220846	NC_007777.1	0	GCF_000685765.2_NZ_JDWE01000010.1_02468	lanthipeptide-class-i	GCF_000013345.1_NC_007777.1.region021_lanthipeptide-class-i_4209625_4230130	3523	GCF_000013345.1_NC_007777.1	GCF_000013345.1	Clade 7	Lanthiphage	0.0				0	0.0	1	0	1	0	0	1	0
47	GCF_000020425.1_NC_011593.1_00508	588593:589799	588593	589799	NC_011593.1	0	GCF_000020425.1_NC_011593.1_00508	lanthipeptide-class-i	GCF_000020425.1_NC_011593.1.region003_lanthipeptide-class-i_577878_599800	508	GCF_000020425.1_NC_011593.1	GCF_000020425.1	Non Defensive	lanthipeptide-class-i	1.0	1.0	RosmerTA	GCF_000020425.1_RosmerTA_6	0	0.0	1	0	0	0	0	1	3
48	GCF_000024025.1_NC_013131.1_03895	4472284:4473388	4472284	4473388	NC_013131.1	0	GCF_015356825.1_NZ_JAACYW010000041.1_04064	lanthipeptide-class-i	GCF_000024025.1_NC_013131.1.region011_lanthipeptide-class-i_4460099_4485492	3895	GCF_000024025.1_NC_013131.1	GCF_000024025.1	Clade 8	Lanthiphage	0.0				0	0.0	1	0	1	1	0	0	0
49	GCF_000024385.1_NC_013510.1_04561	5262172:5263345	5262172	5263345	NC_013510.1	0	GCF_030269545.1_NZ_BSTN01000053.1_04955	lanthipeptide-class-i	GCF_000024385.1_NC_013510.1.region012_lanthipeptide-class-i_5249048_5274320	4561	GCF_000024385.1_NC_013510.1	GCF_000024385.1	Clade 2	Lanthiphage	0.0				0	0.0	1	0	1	0	1	1	1
50	GCF_000024545.1_NC_013947.1_03565	3830087:3831317	3830087	3831317	NC_013947.1	0	GCF_000024545.1_NC_013947.1_03565	lanthipeptide-class-i	GCF_000024545.1_NC_013947.1.region009_lanthipeptide-class-i_3817563_3841079	3565	GCF_000024545.1_NC_013947.1	GCF_000024545.1	Non Defensive	lanthipeptide-class-i	1.0	1.0	CAS_Class1-Subtype-I-C	GCF_000024545.1_CAS_Class1-Subtype-I-C_5	0	0.0	1	1	0	0	0	0	0
51	GCF_000024545.1_NC_013947.1_05362	5751658:5752888	5751658	5752888	NC_013947.1	0	GCF_000024545.1_NC_013947.1_05362	lanthipeptide-class-i	GCF_000024545.1_NC_013947.1.region016_lanthipeptide-class-i_5738774_5762889	5362	GCF_000024545.1_NC_013947.1	GCF_000024545.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	1	0	0
52	GCF_000058485.1_NC_008278.1_02318	2949386:2950460	2949386	2950460	NC_008278.1	1	GCF_004337455.1_NZ_SJXI01000056.1_09245	lanthipeptide-class-i	GCF_000058485.1_NC_008278.1.region011_lanthipeptide-class-i_2939621_2961985	2318	GCF_000058485.1_NC_008278.1	GCF_000058485.1	Clade 4	Lanthiphage	0.0				0	0.0	1	1	0	0	2	1	0
53	GCF_000058485.1_NC_008278.1_05480	6899153:6900338	6899153	6900338	NC_008278.1	0	GCF_021390395.1_NZ_JAJUWT010000026.1_06308	lanthipeptide-class-i	GCF_000058485.1_NC_008278.1.region024_lanthipeptide-class-i_6888204_6913443	5480	GCF_000058485.1_NC_008278.1	GCF_000058485.1	Clade 2	Lanthiphage	1.0	1.0	RM_Type_IIG	GCF_000058485.1_RM_Type_IIG_5	0	0.0	1	0	1	0	1	1	0
54	GCF_000069225.1_NC_010408.1_00066	15042:16341	15042	16341	NC_010408.1	0	GCF_000069225.1_NC_010408.1_00066	lanthipeptide-class-i	GCF_000069225.1_NC_010408.1.region001_lanthipeptide-class-i_2033_26342	66	GCF_000069225.1_NC_010408.1	GCF_000069225.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	1	1	0	0	0	0	2
55	GCF_000091305.1_NC_013929.1_02992	3634342:3635575	3634342	3635575	NC_013929.1	0	GCF_014930405.1_NZ_JABXWJ010000010.1_01241	lanthipeptide-class-i	GCF_000091305.1_NC_013929.1.region016_lanthipeptide-class-i_3621218_3646645	2992	GCF_000091305.1_NC_013929.1	GCF_000091305.1	Clade 2	Lanthiphage	0.0				0	1.0	1	1	0	0	2	1	0
56	GCF_000092385.1_NC_016582.1_06718	8320247:8321657	8320247	8321657	NC_016582.1	0	GCF_014650995.1_NZ_BMWA01000004.1_07042	lanthipeptide-class-i	GCF_000092385.1_NC_016582.1.region036_lanthipeptide-class-i_8307120_8331658	6718	GCF_000092385.1_NC_016582.1	GCF_000092385.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
57	GCF_000092985.1_NC_014210.1_05300	5569577:5570735	5569577	5570735	NC_014210.1	0	GCF_001029525.1_NZ_LEKI01000032.1_02779	lanthipeptide-class-i	GCF_000092985.1_NC_014210.1.region013_lanthipeptide-class-i_5559578_5583696	5300	GCF_000092985.1_NC_014210.1	GCF_000092985.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
58	GCF_000145235.1_NC_014391.1_04079	4663130:4664387	4663130	4664387	NC_014391.1	0	GCF_003612775.1_NZ_CP024087.1_00852	lanthipeptide-class-i	GCF_000145235.1_NC_014391.1.region015_lanthipeptide-class-i_4650762_4676348	4079	GCF_000145235.1_NC_014391.1	GCF_000145235.1	Clade 6	Lanthiphage	0.0				0	0.0	1	1	0	1	2	0	1
59	GCF_000145235.1_NC_014391.1_06081	6839223:6840393	6839223	6840393	NC_014391.1	0	GCF_001029515.1_NZ_LEKG01000136.1_01751	lanthipeptide-class-i	GCF_000145235.1_NC_014391.1.region019_lanthipeptide-class-i_6828283_6853504	6081	GCF_000145235.1_NC_014391.1	GCF_000145235.1	Clade 2	Lanthiphage	0.0				0	0.0	1	0	1	0	2	1	0
60	GCF_000147815.2_NC_015957.1_01524	1159225:1160458	1159225	1160458	NC_015957.1	0	GCF_014930405.1_NZ_JABXWJ010000010.1_01241	lanthipeptide-class-i	GCF_000147815.2_NC_015957.1.region002_lanthipeptide-class-i_1147079_1171088	1524	GCF_000147815.2_NC_015957.1	GCF_000147815.2	Clade 2	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	1
61	GCF_000147815.2_NC_015957.1_03228	3184647:3185988	3184647	3185988	NC_015957.1	0	GCF_000721535.1_NZ_JOIK01000005.1_06868	lanthipeptide-class-i	GCF_000147815.2_NC_015957.1.region008_lanthipeptide-class-i_3176044_3198396	3228	GCF_000147815.2_NC_015957.1	GCF_000147815.2	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
62	GCF_000147815.2_NC_015957.1_05454	6114977:6116261	6114977	6116261	NC_015957.1	0	GCF_000147815.2_NC_015957.1_05454	lanthipeptide-class-i	GCF_000147815.2_NC_015957.1.region028_lanthipeptide-class-i_6101859_6126262	5454	GCF_000147815.2_NC_015957.1	GCF_000147815.2	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
63	GCF_000148465.1_NZ_CM001015.1_02435	2900499:2901729	2900499	2901729	NZ_CM001015.1	0	GCF_000154925.1_NZ_DS570630.1_02994	lanthipeptide-class-i	GCF_000148465.1_NZ_CM001015.1.region008_lanthipeptide-class-i_2888203_2912535	2435	GCF_000148465.1_NZ_CM001015.1	GCF_000148465.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
64	GCF_000148465.1_NZ_CM001015.1_04263	5083574:5084675	5083574	5084675	NZ_CM001015.1	0	GCF_000154925.1_NZ_DS570651.1_03749	lanthipeptide-class-i	GCF_000148465.1_NZ_CM001015.1.region013_lanthipeptide-class-i_5070399_5095686	4263	GCF_000148465.1_NZ_CM001015.1	GCF_000148465.1	Clade 1	Lanthiphage	1.0	1.0	CBASS_II	GCF_000148465.1_CBASS_II_8	0	0.0	1	1	0	0	1	1	0
65	GCF_000154885.1_NZ_DS570387.1_03796	60664:61999	60664	61999	NZ_DS570387.1	0	GCF_000412265.2_NZ_CP011664.1_04918	lanthipeptide-class-i	GCF_000154885.1_NZ_DS570387.1.region001_lanthipeptide-class-i_47690_73004	3796	GCF_000154885.1_NZ_DS570387.1	GCF_000154885.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	1	11
66	GCF_000154885.1_NZ_DS570404.1_01777	45607:46918	45607	46918	NZ_DS570404.1	0	GCF_000412265.2_NZ_CP011665.1_00451	lanthipeptide-class-i	GCF_000154885.1_NZ_DS570404.1.region001_lanthipeptide-class-i_32330_56919	1777	GCF_000154885.1_NZ_DS570404.1	GCF_000154885.1	Non Defensive	lanthipeptide-class-i	0.0				1	0.0	1	1	0	0	0	0	1
67	GCF_000154905.1_NZ_GG770539.1_02180	2973655:2974882	2973655	2974882	NZ_GG770539.1	0	GCF_000720405.1_NZ_JOAE01000019.1_02276	lanthipeptide-class-i	GCF_000154905.1_NZ_GG770539.1.region011_lanthipeptide-class-i_2962655_2987942	2180	GCF_000154905.1_NZ_GG770539.1	GCF_000154905.1	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
68	GCF_000154925.1_NZ_DS570630.1_02994	61840:63070	61840	63070	NZ_DS570630.1	0	GCF_000154925.1_NZ_DS570630.1_02994	lanthipeptide-class-i	GCF_000154925.1_NZ_DS570630.1.region001_lanthipeptide-class-i_48827_73925	2994	GCF_000154925.1_NZ_DS570630.1	GCF_000154925.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
69	GCF_000154925.1_NZ_DS570651.1_03749	28750:29974	28750	29974	NZ_DS570651.1	0	GCF_000154925.1_NZ_DS570651.1_03749	lanthipeptide-class-i	GCF_000154925.1_NZ_DS570651.1.region001_lanthipeptide-class-i_15698_40985	3749	GCF_000154925.1_NZ_DS570651.1	GCF_000154925.1	Clade 1	Lanthiphage	1.0	1.0	CBASS_II	GCF_000154925.1_CBASS_II_8	0	0.0	1	1	0	0	1	1	0
70	GCF_000158935.1_NZ_GG657756.1_06952	8084954:8086355	8084954	8086355	NZ_GG657756.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_000158935.1_NZ_GG657756.1.region023_lanthipeptide-class-i_8074955_8099514	6952	GCF_000158935.1_NZ_GG657756.1	GCF_000158935.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
71	GCF_000158955.1_NZ_GG657757.1_04242	5113110:5114370	5113110	5114370	NZ_GG657757.1	0	GCF_013010335.1_NZ_JABERR010000003.1_03349	lanthipeptide-class-i	GCF_000158955.1_NZ_GG657757.1.region019_lanthipeptide-class-i_5100280_5126474	4242	GCF_000158955.1_NZ_GG657757.1	GCF_000158955.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	2
72	GCF_000158975.1_NZ_GG657758.1_00158	163823:165170	163823	165170	NZ_GG657758.1	0	GCF_000158975.1_NZ_GG657758.1_00158	lanthipeptide-class-i	GCF_000158975.1_NZ_GG657758.1.region001_lanthipeptide-class-i_155524_178040	158	GCF_000158975.1_NZ_GG657758.1	GCF_000158975.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
73	GCF_000158975.1_NZ_GG657758.1_05147	6494987:6496130	6494987	6496130	NZ_GG657758.1	0	GCF_006715925.1_NZ_VFOE01000001.1_05481	lanthipeptide-class-i	GCF_000158975.1_NZ_GG657758.1.region019_lanthipeptide-class-i_6482667_6505885	5147	GCF_000158975.1_NZ_GG657758.1	GCF_000158975.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
74	GCF_000158975.1_NZ_GG657758.1_06238	7894995:7896396	7894995	7896396	NZ_GG657758.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_000158975.1_NZ_GG657758.1.region024_lanthipeptide-class-i_7884996_7909462	6238	GCF_000158975.1_NZ_GG657758.1	GCF_000158975.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	3
75	GCF_000159635.1_NZ_GG667191.1_00098	93557:94754	93557	94754	NZ_GG667191.1	0	GCF_000159635.1_NZ_GG667191.1_00098	lanthipeptide-class-i	GCF_000159635.1_NZ_GG667191.1.region001_lanthipeptide-class-i_83558_110132	98	GCF_000159635.1_NZ_GG667191.1	GCF_000159635.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	0	2	0	0	0	2
76	GCF_000163875.1_NZ_CM000913.1_03689	2910257:2911487	2910257	2911487	NZ_CM000913.1	0	GCF_000154925.1_NZ_DS570630.1_02994	lanthipeptide-class-i	GCF_000163875.1_NZ_CM000913.1.region008_lanthipeptide-class-i_2897961_2922293	3689	GCF_000163875.1_NZ_CM000913.1	GCF_000163875.1	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
77	GCF_000163875.1_NZ_CM000913.1_05518	5095067:5096168	5095067	5096168	NZ_CM000913.1	0	GCF_000154925.1_NZ_DS570651.1_03749	lanthipeptide-class-i	GCF_000163875.1_NZ_CM000913.1.region013_lanthipeptide-class-i_5081892_5107179	5518	GCF_000163875.1_NZ_CM000913.1	GCF_000163875.1	Clade 1	Lanthiphage	1.0	1.0	CBASS_II	GCF_000163875.1_CBASS_II_7	0	0.0	1	1	0	0	1	1	0
78	GCF_000166135.1_NC_014666.1_00867	1106524:1107796	1106524	1107796	NC_014666.1	0	GCF_001306465.1_NZ_LFCW01000002.1_00353	lanthipeptide-class-i	GCF_000166135.1_NC_014666.1.region002_lanthipeptide-class-i_1096691_1123777	867	GCF_000166135.1_NC_014666.1	GCF_000166135.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	1	1	0
79	GCF_000166135.1_NC_014666.1_06843	8487323:8488580	8487323	8488580	NC_014666.1	0	GCF_016792105.1_NZ_JAEACR010000185.1_04158	lanthipeptide-class-i	GCF_000166135.1_NC_014666.1.region026_lanthipeptide-class-i_8476365_8501630	6843	GCF_000166135.1_NC_014666.1	GCF_000166135.1	Clade 1	Lanthiphage	1.0	1.0	Retron_III	GCF_000166135.1_Retron_III_6	0	0.0	1	1	0	0	1	1	1
80	GCF_000177675.1_NZ_ADGX01000049.1_00780	48013:49252	48013	49252	NZ_ADGX01000049.1	0	GCF_000685765.2_NZ_JDWE01000055.1_03062	lanthipeptide-class-i	GCF_000177675.1_NZ_ADGX01000049.1.region001_lanthipeptide-class-i_34919_59824	780	GCF_000177675.1_NZ_ADGX01000049.1	GCF_000177675.1	Clade 5	Lanthiphage	0.0				1	0.0	1	1	0	0	2	1	1
81	GCF_000177675.1_NZ_ADGX01000188.1_02589	8421:9498	8421	9498	NZ_ADGX01000188.1	0	GCF_004337455.1_NZ_SJXI01000056.1_09245	lanthipeptide-class-i	GCF_000177675.1_NZ_ADGX01000188.1.region001_lanthipeptide-class-i_1_15225	2589	GCF_000177675.1_NZ_ADGX01000188.1	GCF_000177675.1	Clade 4	Lanthiphage	0.0				1	0.0	1	0	0	0	1	2	0
82	GCF_000194155.1_NZ_GL877878.1_06179	3384866:3386036	3384866	3386036	NZ_GL877878.1	0	GCF_000194155.1_NZ_GL877878.1_06179	lanthipeptide-class-i	GCF_000194155.1_NZ_GL877878.1.region011_lanthipeptide-class-i_3374867_3398954	6179	GCF_000194155.1_NZ_GL877878.1	GCF_000194155.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
83	GCF_000220705.2_NZ_CP023202.1_00893	1084411:1085686	1084411	1085686	NZ_CP023202.1	0	GCF_009864865.1_NZ_WWGA01000065.1_03173	lanthipeptide-class-i	GCF_000220705.2_NZ_CP023202.1.region008_lanthipeptide-class-i_1071701_1097609	893	GCF_000220705.2_NZ_CP023202.1	GCF_000220705.2	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	1
